Unnamed: 0,Equation Number,eqn,soln,metrics
11,14,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
","(1x - 2x) = (((3 - 4x) - 5) - 6x)
|(1x - 2x) = (((3 - 5) - 4x) - 6x)|((1 - 2) * x) = (((3 - 5) - 4x) - 6x)|((1 - 2) * x) = (((3 - 5) + -4x) - 6x)|-1x = (((3 - 5) + -4x) - 6x)|-1x = (((3 - 5) + -4x) + -6x)|-1x = (-6x + ((3 - 5) + -4x))|-1x = (-6x + (-4x + (3 - 5)))|5x = ((-4x + (3 - 5)) + 0)|5x = (-4x + (3 - 5))|9x = ((3 - 5) + 0)|9x = (-2)|x = ([-2/9])",26
12,17,"(1x + (-2)) = (-3x + 4)
","(1x + (-2)) = (-3x + 4)
|((1x + (-2)) - (-2)) = ((-3x + 4) - (-2))|1x = ((-3x + 4) - (-2))|1x = (-3x + (4 - (-2)))|4x = ((4 - (-2)) + 0)|4x = 6|x = [3/2]",14
13,18,"((-1x + 2) - 3) = -4x
","((-1x + 2) - 3) = -4x
|-4x = ((-1x + 2) - 3)|-4x = (-1x + (2 - 3))|-3x = ((2 - 3) + 0)|-3x = (-1)|x = [1/3]",12
14,19,"(-1) = (2 + 3x)
","(-1) = (2 + 3x)
|(-1) = (3x + 2)|(3x + 2) = (-1)|3x = (-3)|x = (-1)",6
15,20,"(1x + (-2)) = (3 + -4x)
","(1x + (-2)) = (3 + -4x)
|(1x + (-2)) = (-4x + 3)|((1x + (-2)) - (-2)) = ((-4x + 3) - (-2))|1x = ((-4x + 3) - (-2))|1x = (-4x + (3 - (-2)))|5x = ((3 - (-2)) + 0)|5x = 5|x = 1",14
16,21,"((-1) / 2) = x
","((-1) / 2) = x
|x = ((-1) / 2)|x = ([-1/2])",3
17,23,"(1x - 2) = ((-3) - 4x)
","(1x - 2) = ((-3) - 4x)
|(1x - 2) = ((-3) + -4x)|((1x - 2) + 2) = (((-3) + -4x) + 2)|((1x + (-2)) + 2) = (((-3) + -4x) + 2)|1x = (((-3) + -4x) + 2)|1x = ((-4x + (-3)) + 2)|1x = (-4x + ((-3) + 2))|5x = (((-3) + 2) + 0)|5x = (-1)|x = ([-1/5])",17
18,24,"-1x = (2x + 3)
","-1x = (2x + 3)
|-3x = (3 + 0)|-3x = 3|x = (-1)",4
19,25,"(1 + -2x) = (-3x + (-4))
","(1 + -2x) = (-3x + (-4))
|(-2x + 1) = (-3x + (-4))|((-2x + 1) - 1) = ((-3x + (-4)) - 1)|-2x = ((-3x + (-4)) - 1)|-2x = (-3x + ((-4) - 1))|1x = (((-4) - 1) + 0)|1x = (-5)|x = (-5)",14
20,26,"(1 + -2x) = ((-3) + -4x)
","(1 + -2x) = ((-3) + -4x)
|(-2x + 1) = ((-3) + -4x)|((-2x + 1) - 1) = (((-3) + -4x) - 1)|-2x = (((-3) + -4x) - 1)|-2x = ((-4x + (-3)) - 1)|-2x = (-4x + ((-3) - 1))|2x = (((-3) - 1) + 0)|2x = (-4)|x = (-2)",15
21,27,"((-1) + (2 / x)) = 3
","((-1) + (2 / x)) = 3
|(2 / x) = 4|((2 / x) * 2) = (4 * 2)|(2 * (2 / x)) = (4 * 2)|(2 * (2 / x)) = 8|((2 * 2) / x) = 8|(4 / x) = 8|((4 / x) * 8) = (8 * 8)|(8 * (4 / x)) = (8 * 8)|((8 * 4) / x) = (8 * 8)|((4 * 8) / x) = (8 * 8)|(8 * 8) = ((4 * 8) / x)|(8 * 8) = (4 * (8 / x))|((8 * 8) * x) = ((4 * (8 / x)) * x)|((8 * 8) * x) = (x * (4 * (8 / x)))|((8 * 8) * x) = (x * ((4 * 8) / x))|((8 * 8) * x) = (x * ((8 * 4) / x))|((8 * 8) * x) = (x * (8 * (4 / x)))|((8 * 8) * x) = ((x * 8) * (4 / x))|((8 * 8) * x) = (8x * (4 / x))|((8 * 8) * x) = ((8x * 4) / x)|((8 * 8) * x) = ((4 * 8x) / x)|((8 * 8) * x) = (4 * (8x / x))|((8 * 8) * x) = (4 * (8 * (x / x)))|((8 * 8) * x) = (4 * (8 * 1))|64x = (4 * (8 * 1))|64x = (4 * 8)|64x = 32|x = [1/2]",48
22,28,"(-1x + 2x) = (-3)
","(-1x + 2x) = (-3)
|(((-1) + 2) * x) = (-3)|1x = (-3)|x = (-3)",7
23,31,"((-1) + -2x) = (-3x + (-4))
","((-1) + -2x) = (-3x + (-4))
|(-2x + (-1)) = (-3x + (-4))|((-2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1))|-2x = ((-3x + (-4)) - (-1))|-2x = (-3x + ((-4) - (-1)))|1x = (((-4) - (-1)) + 0)|1x = (-3)|x = (-3)",14
24,32,"((-1x + 2) - 3x) = 4
","((-1x + 2) - 3x) = 4
|((-1x + 2) + -3x) = 4|((-3x + (-1x + 2)) - 2) = 2|(-3x + ((-1x + 2) - 2)) = 2|(-3x + -1x) = 2|(((-3) + (-1)) * x) = 2|-4x = 2|x = ([-1/2])",13
25,33,"1 = ((-2) + -3x)
","1 = ((-2) + -3x)
|1 = (-3x + (-2))|(-3x + (-2)) = 1|-3x = 3|x = (-1)",6
26,34,"((-1) - 2x) = (3x - 4)
","((-1) - 2x) = (3x - 4)
|((-1) + -2x) = (3x - 4)|(-2x + (-1)) = (3x - 4)|((-2x + (-1)) - (-1)) = ((3x - 4) - (-1))|-2x = ((3x - 4) - (-1))|-2x = ((3x + (-4)) - (-1))|-2x = (3x + ((-4) - (-1)))|-5x = (((-4) - (-1)) + 0)|-5x = (-3)|x = [3/5]",17
27,35,"((1x - 2) + 3) = ((4x - 5) + 6)
","((1x - 2) + 3) = ((4x - 5) + 6)
|((1x + (-2)) + 3) = ((4x - 5) + 6)|(1x + ((-2) + 3)) = ((4x - 5) + 6)|(1x + 1) = ((4x - 5) + 6)|((1x + 1) - 1) = (((4x - 5) + 6) - 1)|1x = (((4x - 5) + 6) - 1)|1x = (((4x + (-5)) + 6) - 1)|1x = ((4x + ((-5) + 6)) - 1)|1x = (4x + (((-5) + 6) - 1))|1x = (4x + 0)|-3x = (0 + 0)|-3x = 0|x = 0",21
28,36,"1 = ((2 - 3x) - 4x)
","1 = ((2 - 3x) - 4x)
|1 = ((2 + -3x) - 4x)|1 = ((-3x + 2) - 4x)|1 = ((-3x + 2) + -4x)|1 = (-4x + (-3x + 2))|1 = ((-4x + -3x) + 2)|1 = ((((-4) + (-3)) * x) + 2)|1 = (-7x + 2)|(-7x + 2) = 1|-7x = (-1)|x = [1/7]",19
29,37,"((1 + 2) * x) = 3
","((1 + 2) * x) = 3
|3x = 3|x = 1",5
30,39,"x = (-1x + 2)
","x = (-1x + 2)
|(x * 2) = ((-1x + 2) * 2)|(x * 2) = ((-1x * 2) + (2 * 2))|2x = ((-1x * 2) + (2 * 2))|2x = ((2 * -1x) + (2 * 2))|2x = (((2 * (-1)) * x) + (2 * 2))|2x = (-2x + (2 * 2))|4x = ((2 * 2) + 0)|4x = 4|x = 1",19
31,40,"1 = (2x + 3)
","1 = (2x + 3)
|(2x + 3) = 1|2x = (-2)|x = (-1)",5
32,41,"(1 + 2x) = (3x + 4)
","(1 + 2x) = (3x + 4)
|(2x + 1) = (3x + 4)|((2x + 1) - 1) = ((3x + 4) - 1)|2x = ((3x + 4) - 1)|2x = (3x + (4 - 1))|-1x = ((4 - 1) + 0)|-1x = 3|x = (-3)",14
33,43,"((-1) + -2x) = (-3)
","((-1) + -2x) = (-3)
|-2x = (-2)|x = 1",3
34,44,"((-1) + 2x) = (-3x + (-4))
","((-1) + 2x) = (-3x + (-4))
|(2x + (-1)) = (-3x + (-4))|((2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1))|2x = ((-3x + (-4)) - (-1))|2x = (-3x + ((-4) - (-1)))|5x = (((-4) - (-1)) + 0)|5x = (-3)|x = ([-3/5])",15
35,45,"(1x - -2x) = 3
","(1x - -2x) = 3
|((1 - (-2)) * x) = 3|3x = 3|x = 1",7
36,46,"((-1) + 2x) = (3x - 4)
","((-1) + 2x) = (3x - 4)
|(2x + (-1)) = (3x - 4)|((2x + (-1)) - (-1)) = ((3x - 4) - (-1))|((2x + (-1)) - (-1)) = ((3x + (-4)) - (-1))|2x = ((3x + (-4)) - (-1))|2x = (3x + ((-4) - (-1)))|-1x = (((-4) - (-1)) + 0)|-1x = (-3)|x = 3",15
37,48,"(-1x + 2) = (3x + (-4))
","(-1x + 2) = (3x + (-4))
|((-1x + 2) - 2) = ((3x + (-4)) - 2)|-1x = ((3x + (-4)) - 2)|-1x = (3x + ((-4) - 2))|-4x = (((-4) - 2) + 0)|-4x = (-6)|x = [3/2]",14
38,49,"(-1x + 2x) = ((-3) + 4)
","(-1x + 2x) = ((-3) + 4)
|(((-1) + 2) * x) = ((-3) + 4)|1x = ((-3) + 4)|1x = 1|x = 1",9
39,50,"1x = (2 + 3)
","1x = (2 + 3)
|1x = 5|x = 5",3
40,51,"((-1) - 2x) = (3 - 4x)
","((-1) - 2x) = (3 - 4x)
|((-1) - 2x) = (3 + -4x)|((-1) + -2x) = (3 + -4x)|((-1) + -2x) = (-4x + 3)|(-2x + (-1)) = (-4x + 3)|((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1))|-2x = ((-4x + 3) - (-1))|-2x = (-4x + (3 - (-1)))|2x = ((3 - (-1)) + 0)|2x = 4|x = 2",17
41,53,"1 = -2x
","1 = -2x
|-2x = 1|x = ([-1/2])",3
42,54,"((-1) + -2x) = ((-3) + -4x)
","((-1) + -2x) = ((-3) + -4x)
|(-2x + (-1)) = ((-3) + -4x)|((-2x + (-1)) - (-1)) = (((-3) + -4x) - (-1))|-2x = (((-3) + -4x) - (-1))|-2x = ((-4x + (-3)) - (-1))|-2x = (-4x + ((-3) - (-1)))|2x = (((-3) - (-1)) + 0)|2x = (-2)|x = (-1)",15
43,55,"-1x = (-2)
","-1x = (-2)
|x = 2",1
44,56,"((-1) + -2x) = (3 + -4x)
","((-1) + -2x) = (3 + -4x)
|((-1) + -2x) = (-4x + 3)|(-2x + (-1)) = (-4x + 3)|((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1))|-2x = ((-4x + 3) - (-1))|-2x = (-4x + (3 - (-1)))|2x = ((3 - (-1)) + 0)|2x = 4|x = 2",15
45,60,"(1x + 2) = (3 - 4x)
","(1x + 2) = (3 - 4x)
|(1x + 2) = (3 + -4x)|(1x + 2) = (-4x + 3)|((1x + 2) - 2) = ((-4x + 3) - 2)|1x = ((-4x + 3) - 2)|1x = (-4x + (3 - 2))|5x = ((3 - 2) + 0)|5x = 1|x = [1/5]",16
46,61,"(1 + -2x) = 3
","(1 + -2x) = 3
|-2x = 2|x = (-1)",3
47,62,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
","(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
|(3x + ((-1) + 2x)) = ((-4x + (-5)) + 6x)|(3x + ((-1) + 2x)) = (((-5) + -4x) + 6x)|(3x + (2x + (-1))) = (((-5) + -4x) + 6x)|((3x + (2x + (-1))) - (-1)) = ((((-5) + -4x) + 6x) - (-1))|((3x + (2x + (-1))) - (-1)) = ((6x + ((-5) + -4x)) - (-1))|(3x + ((2x + (-1)) - (-1))) = ((6x + ((-5) + -4x)) - (-1))|(3x + 2x) = ((6x + ((-5) + -4x)) - (-1))|(2x + 3x) = ((6x + ((-5) + -4x)) - (-1))|((2 + 3) * x) = ((6x + ((-5) + -4x)) - (-1))|((2 + 3) * x) = ((6x + (-4x + (-5))) - (-1))|((2 + 3) * x) = (((6x + -4x) + (-5)) - (-1))|((2 + 3) * x) = ((((6 + (-4)) * x) + (-5)) - (-1))|5x = ((((6 + (-4)) * x) + (-5)) - (-1))|5x = ((2x + (-5)) - (-1))|5x = (2x + ((-5) - (-1)))|3x = (((-5) - (-1)) + 0)|3x = (-4)|x = ([-4/3])",35
48,63,"1x = (2x + 3)
","1x = (2x + 3)
|-1x = (3 + 0)|-1x = 3|x = (-3)",4
49,64,"((-1x - 2) + 3) = 4x
","((-1x - 2) + 3) = 4x
|4x = ((-1x - 2) + 3)|4x = ((-1x + (-2)) + 3)|4x = (-1x + ((-2) + 3))|5x = (((-2) + 3) + 0)|5x = 1|x = [1/5]",13
50,65,"((1 - 2) / 3) = x
","((1 - 2) / 3) = x
|x = ((1 - 2) / 3)|x = ([-1/3])",6
51,68,"(1x + (-2)) = (-3x + (-4))
","(1x + (-2)) = (-3x + (-4))
|((1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|1x = ((-3x + (-4)) - (-2))|1x = (-3x + ((-4) - (-2)))|4x = (((-4) - (-2)) + 0)|4x = (-2)|x = ([-1/2])",14
52,69,"(-1x + (-2)) = (-3)
","(-1x + (-2)) = (-3)
|-1x = (-1)|x = 1",3
53,70,"(-1x - 2) = (3 + 4x)
","(-1x - 2) = (3 + 4x)
|(-1x + (-2)) = (3 + 4x)|(-1x + (-2)) = (4x + 3)|(4x + 3) = (-1x + (-2))|((4x + 3) - 3) = ((-1x + (-2)) - 3)|4x = ((-1x + (-2)) - 3)|4x = (-1x + ((-2) - 3))|5x = (((-2) - 3) + 0)|5x = (-5)|x = (-1)",16
54,71,"(-1x + 2) = (-3)
","(-1x + 2) = (-3)
|-1x = (-5)|x = 5",3
55,72,"((-1) + 2x) = 3
","((-1) + 2x) = 3
|2x = 4|x = 2",3
56,73,"(-1x + (-2)) = ((-3) + 4x)
","(-1x + (-2)) = ((-3) + 4x)
|((-1x + (-2)) - (-2)) = (((-3) + 4x) - (-2))|-1x = (((-3) + 4x) - (-2))|-1x = ((4x + (-3)) - (-2))|-1x = (4x + ((-3) - (-2)))|-5x = (((-3) - (-2)) + 0)|-5x = (-1)|x = [1/5]",15
57,74,"(-1x + 2) = ((-3) + 4x)
","(-1x + 2) = ((-3) + 4x)
|(-1x + 2) = (4x + (-3))|((-1x + 2) - 2) = ((4x + (-3)) - 2)|-1x = ((4x + (-3)) - 2)|-1x = (4x + ((-3) - 2))|-5x = (((-3) - 2) + 0)|-5x = (-5)|x = 1",14
58,75,"((-1) + -2x) = (-3x + 4)
","((-1) + -2x) = (-3x + 4)
|(-2x + (-1)) = (-3x + 4)|((-2x + (-1)) - (-1)) = ((-3x + 4) - (-1))|-2x = ((-3x + 4) - (-1))|-2x = (-3x + (4 - (-1)))|1x = ((4 - (-1)) + 0)|1x = 5|x = 5",14
59,76,"((-1) - 2x) = (-3)
","((-1) - 2x) = (-3)
|((-1) + -2x) = (-3)|-2x = (-2)|x = 1",4
60,78,"1x = (((2 - 3x) - 4) + 5x)
","1x = (((2 - 3x) - 4) + 5x)
|1x = (((2 + -3x) - 4) + 5x)|1x = (5x + ((2 + -3x) - 4))|1x = (5x + ((-3x + 2) - 4))|-4x = (((-3x + 2) - 4) + 0)|-4x = ((-3x + 2) - 4)|-4x = (-3x + (2 - 4))|-1x = ((2 - 4) + 0)|-1x = (-2)|x = 2",19
61,80,"(1x + (-2)) = ((-3) + -4x)
","(1x + (-2)) = ((-3) + -4x)
|((1x + (-2)) - (-2)) = (((-3) + -4x) - (-2))|1x = (((-3) + -4x) - (-2))|1x = ((-4x + (-3)) - (-2))|1x = (-4x + ((-3) - (-2)))|5x = (((-3) - (-2)) + 0)|5x = (-1)|x = ([-1/5])",15
62,81,"1x = (-2x - 3)
","1x = (-2x - 3)
|1x = (-2x + (-3))|3x = ((-3) + 0)|3x = (-3)|x = (-1)",5
63,82,"(-1) = x
","(-1) = x
|x = (-1)",1
64,83,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
","((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
|(3x + (1 + 2x)) = ((-4x + (-5)) + 6x)|(3x + (1 + 2x)) = (((-5) + -4x) + 6x)|(3x + (2x + 1)) = (((-5) + -4x) + 6x)|(3x + (2x + 1)) = (6x + ((-5) + -4x))|((3x + (2x + 1)) - 1) = ((6x + ((-5) + -4x)) - 1)|(3x + ((2x + 1) - 1)) = ((6x + ((-5) + -4x)) - 1)|(3x + 2x) = ((6x + ((-5) + -4x)) - 1)|(2x + 3x) = ((6x + ((-5) + -4x)) - 1)|((2 + 3) * x) = ((6x + ((-5) + -4x)) - 1)|5x = ((6x + ((-5) + -4x)) - 1)|5x = ((6x + (-4x + (-5))) - 1)|5x = (((6x + -4x) + (-5)) - 1)|5x = ((((6 + (-4)) * x) + (-5)) - 1)|5x = ((2x + (-5)) - 1)|5x = (2x + ((-5) - 1))|3x = (((-5) - 1) + 0)|3x = (-6)|x = (-2)",34
65,85,"x = ((1 - 2) / (-3))
","x = ((1 - 2) / (-3))
|x = [1/3]",2
66,86,"(1 + -2x) = ((-3) + 4x)
","(1 + -2x) = ((-3) + 4x)
|(-2x + 1) = ((-3) + 4x)|(-2x + 1) = (4x + (-3))|((-2x + 1) - 1) = ((4x + (-3)) - 1)|-2x = ((4x + (-3)) - 1)|-2x = (4x + ((-3) - 1))|-6x = (((-3) - 1) + 0)|-6x = (-4)|x = [2/3]",16
67,88,"(1 + -2x) = (-3)
","(1 + -2x) = (-3)
|-2x = (-4)|x = 2",3
68,89,"(-1x + 2) = (3 + -4x)
","(-1x + 2) = (3 + -4x)
|(-1x + 2) = (-4x + 3)|((-1x + 2) - 2) = ((-4x + 3) - 2)|-1x = ((-4x + 3) - 2)|-1x = (-4x + (3 - 2))|3x = ((3 - 2) + 0)|3x = 1|x = [1/3]",15
69,90,"1 = (2x + (-3))
","1 = (2x + (-3))
|(2x + (-3)) = 1|2x = 4|x = 2",5
70,92,"(-1x + 2) = (3x + 4)
","(-1x + 2) = (3x + 4)
|((-1x + 2) - 2) = ((3x + 4) - 2)|-1x = ((3x + 4) - 2)|-1x = (3x + (4 - 2))|-4x = ((4 - 2) + 0)|-4x = 2|x = ([-1/2])",14
71,93,"(1x - -2x) = (-3)
","(1x - -2x) = (-3)
|((1 - (-2)) * x) = (-3)|3x = (-3)|x = (-1)",7
72,94,"(-1x + 2) = 3
","(-1x + 2) = 3
|-1x = 1|x = (-1)",3
73,95,"(1 + -2x) = (3 + 4x)
","(1 + -2x) = (3 + 4x)
|(-2x + 1) = (3 + 4x)|(-2x + 1) = (4x + 3)|((-2x + 1) - 1) = ((4x + 3) - 1)|-2x = ((4x + 3) - 1)|-2x = (4x + (3 - 1))|-6x = ((3 - 1) + 0)|-6x = 2|x = ([-1/3])",16
74,96,"(-1) = ((2x + 3x) - 4)
","(-1) = ((2x + 3x) - 4)
|((2x + 3x) - 4) = (-1)|(2x + 3x) = 3|((2 + 3) * x) = 3|5x = 3|x = [3/5]",14
75,97,"((-1x - 2) - 3x) = (-4)
","((-1x - 2) - 3x) = (-4)
|((-1x + (-2)) - 3x) = (-4)|((-1x + (-2)) + -3x) = (-4)|((-3x + (-1x + (-2))) - (-4)) = 0|(-3x + ((-1x + (-2)) - (-4))) = 0|(-3x + (-1x + ((-2) - (-4)))) = 0|((-3x + -1x) + ((-2) - (-4))) = 0|((((-3) + (-1)) * x) + ((-2) - (-4))) = 0|(-4x + ((-2) - (-4))) = 0|(-4x + 2) = 0|-4x = (-2)|x = [1/2]",21
76,98,"-1x = ((-2) - 3)
","-1x = ((-2) - 3)
|-1x = (-5)|x = 5",3
77,100,"x = (((-1) + 2) / 3)
","x = (((-1) + 2) / 3)
|x = [1/3]",2
78,101,"((1 + 2x) - 3) = -4x
","((1 + 2x) - 3) = -4x
|-4x = ((1 + 2x) - 3)|-4x = ((2x + 1) - 3)|-4x = (2x + (1 - 3))|-6x = ((1 - 3) + 0)|-6x = (-2)|x = [1/3]",13
79,102,"-1x = ((2 / x) * x)
","-1x = ((2 / x) * x)
|-1x = (x * (2 / x))|(x * (2 / x)) = -1x|((x * (2 / x)) * (-1)) = (-1x * (-1))|(x * ((2 / x) * (-1))) = (-1x * (-1))|(x * ((2 / x) * (-1))) = ((-1) * -1x)|(x * ((2 / x) * (-1))) = (((-1) * (-1)) * x)|((x * (2 / x)) * (-1)) = (((-1) * (-1)) * x)|(((-1) * (-1)) * x) = ((x * (2 / x)) * (-1))|(((-1) * (-1)) * x) = ((-1) * (x * (2 / x)))|(((-1) * (-1)) * x) = (-1x * (2 / x))|(((-1) * (-1)) * x) = ((-1x * 2) / x)|(((-1) * (-1)) * x) = ((2 * -1x) / x)|(((-1) * (-1)) * x) = (((2 * (-1)) * x) / x)|(((-1) * (-1)) * x) = ((2 * (-1)) * (x / x))|(((-1) * (-1)) * x) = ((2 * (-1)) * 1)|1x = ((2 * (-1)) * 1)|1x = (-2)|x = (-2)",39
80,103,"((-1) - 2) = (3x - 4x)
","((-1) - 2) = (3x - 4x)
|((-1) - 2) = ((3 - 4) * x)|((3 - 4) * x) = ((-1) - 2)|-1x = ((-1) - 2)|-1x = (-3)|x = 3",11
81,105,"1x = 2
","1x = 2
|x = 2",1
82,106,"(1 - 2) = 3x
","(1 - 2) = 3x
|3x = (1 - 2)|3x = (-1)|x = ([-1/3])",6
83,107,"(1x + 2) = ((-3) + 4x)
","(1x + 2) = ((-3) + 4x)
|(1x + 2) = (4x + (-3))|((1x + 2) - 2) = ((4x + (-3)) - 2)|1x = ((4x + (-3)) - 2)|1x = (4x + ((-3) - 2))|-3x = (((-3) - 2) + 0)|-3x = (-5)|x = [5/3]",15
84,108,"(-1x + 2) = ((-3) + -4x)
","(-1x + 2) = ((-3) + -4x)
|((-1x + 2) - 2) = (((-3) + -4x) - 2)|((-1x + 2) - 2) = ((-4x + (-3)) - 2)|-1x = ((-4x + (-3)) - 2)|-1x = (-4x + ((-3) - 2))|3x = (((-3) - 2) + 0)|3x = (-5)|x = ([-5/3])",15
85,109,"((-1) + 2) = 3x
","((-1) + 2) = 3x
|3x = ((-1) + 2)|3x = 1|x = [1/3]",6
86,110,"((-1) + -2x) = (3 + 4x)
","((-1) + -2x) = (3 + 4x)
|(-2x + (-1)) = (3 + 4x)|(-2x + (-1)) = (4x + 3)|((-2x + (-1)) - (-1)) = ((4x + 3) - (-1))|-2x = ((4x + 3) - (-1))|-2x = (4x + (3 - (-1)))|-6x = ((3 - (-1)) + 0)|-6x = 4|x = ([-2/3])",16
87,111,"-1x = (2 + 3)
","-1x = (2 + 3)
|-1x = 5|x = (-5)",3
88,112,"((-1) + 2x) = ((-3) + 4x)
","((-1) + 2x) = ((-3) + 4x)
|(2x + (-1)) = ((-3) + 4x)|((2x + (-1)) - (-1)) = (((-3) + 4x) - (-1))|((2x + (-1)) - (-1)) = ((4x + (-3)) - (-1))|2x = ((4x + (-3)) - (-1))|2x = (4x + ((-3) - (-1)))|-2x = (((-3) - (-1)) + 0)|-2x = (-2)|x = 1",15
89,113,"(1 + 2x) = 3
","(1 + 2x) = 3
|2x = 2|x = 1",3
90,115,"((-1) + 2x) = (-3)
","((-1) + 2x) = (-3)
|2x = (-2)|x = (-1)",3
91,116,"(1 + 2x) = (-3x + 4)
","(1 + 2x) = (-3x + 4)
|(2x + 1) = (-3x + 4)|((2x + 1) - 1) = ((-3x + 4) - 1)|2x = ((-3x + 4) - 1)|2x = (-3x + (4 - 1))|5x = ((4 - 1) + 0)|5x = 3|x = [3/5]",15
92,118,"-1x = ((-2) + x)
","-1x = ((-2) + x)
|-1x = (x + (-2))|(x + (-2)) = -1x|((x + (-2)) - (-2)) = (-1x - (-2))|x = (-1x - (-2))|x = (-1x + 2)|(x * 2) = ((-1x + 2) * 2)|(x * 2) = ((-1x * 2) + (2 * 2))|2x = ((-1x * 2) + (2 * 2))|2x = ((2 * -1x) + (2 * 2))|2x = (((2 * (-1)) * x) + (2 * 2))|2x = (-2x + (2 * 2))|4x = ((2 * 2) + 0)|4x = 4|x = 1",29
93,119,"(-1x + 2) = 3x
","(-1x + 2) = 3x
|3x = (-1x + 2)|4x = (2 + 0)|4x = 2|x = [1/2]",7
94,120,"1 = (2 + 3x)
","1 = (2 + 3x)
|1 = (3x + 2)|(3x + 2) = 1|3x = (-1)|x = ([-1/3])",7
