Unnamed: 0,Equation Number,eqn,soln,metrics
10,11,"((-1x - 2) + 3x) = (4x + 5x)
","((-1x - 2) + 3x) = (4x + 5x)
|(3x + (-1x - 2)) = (4x + 5x)|((3x + (-1x - 2)) - 5x) = ((4x + 5x) - 5x)|(((3x + -1x) - 2) - 5x) = ((4x + 5x) - 5x)|(((3x + -1x) - 2) - 5x) = (4x + (5x - 5x))|(4x + (5x - 5x)) = (((3x + -1x) - 2) - 5x)|(4x + 0) = (((3x + -1x) - 2) - 5x)|(4x + 0) = ((((3 + (-1)) * x) - 2) - 5x)|4x = ((((3 + (-1)) * x) - 2) - 5x)|4x = (((((-1) + 3) * x) - 2) - 5x)|4x = (((((-1) + 3) * x) - 5x) - 2)|4x = ((2x - 5x) - 2)|4x = (((2 - 5) * x) - 2)|4x = (((2 - 5) * x) + (-2))|4x = (((2 + (-5)) * x) + (-2))|4x = ((((-5) + 2) * x) + (-2))|4x = ((-2) + (((-5) + 2) * x))|4x = ((-2) + -3x)|(4x - -3x) = (((-2) + -3x) - -3x)|((4 - (-3)) * x) = (((-2) + -3x) - -3x)|((4 - (-3)) * x) = ((-2) + (-3x - -3x))|7x = ((-2) + (-3x - -3x))|(x * 7) = ((-2) + (-3x - -3x))|((x * 7) / 7) = (((-2) + (-3x - -3x)) / 7)|((x * 7) / 7) = (((-2) + 0) / 7)|(x * (7 / 7)) = (((-2) + 0) / 7)|(x * 1) = (((-2) + 0) / 7)|x = (((-2) + 0) / 7)|x = ((-2) / 7)|x = ([-2/7])",56
11,15,"((1 / x) + 2) = (-3)
","((1 / x) + 2) = (-3)
|(((1 / x) + 2) - 2) = ((-3) - 2)|((1 / x) + (2 - 2)) = ((-3) - 2)|((1 / x) + (2 - 2)) = (-5)|((1 / x) + 0) = (-5)|(((1 / x) + 0) / (-5)) = ((-5) / (-5))|((((1 / x) + 0) / (-5)) * x) = (((-5) / (-5)) * x)|((((1 / x) + 0) / (-5)) * x) = 1x|(x * (((1 / x) + 0) / (-5))) = 1x|(x * ((1 / x) / (-5))) = 1x|((x * (1 / x)) / (-5)) = 1x|(((x * 1) / x) / (-5)) = 1x|(((x * 1) / x) / (-5)) = x|x = (((x * 1) / x) / (-5))|x = ((x / x) / (-5))|x = (1 / (-5))|x = ([-1/5])",39
12,16,"(-1) = ((2 / x) + 3)
","(-1) = ((2 / x) + 3)
|((-1) - 3) = (((2 / x) + 3) - 3)|(-4) = (((2 / x) + 3) - 3)|((-4) / (-4)) = ((((2 / x) + 3) - 3) / (-4))|(((-4) / (-4)) * x) = (((((2 / x) + 3) - 3) / (-4)) * x)|1x = (((((2 / x) + 3) - 3) / (-4)) * x)|x = (((((2 / x) + 3) - 3) / (-4)) * x)|x = ((((2 / x) + (3 - 3)) / (-4)) * x)|x = ((((2 / x) + 0) / (-4)) * x)|x = (x * (((2 / x) + 0) / (-4)))|x = ((x * ((2 / x) + 0)) / (-4))|x = ((x * (2 / x)) / (-4))|x = (((x * 2) / x) / (-4))|x = ((2x / x) / (-4))|x = ((2 * (x / x)) / (-4))|x = ((2 * 1) / (-4))|x = (2 / (-4))|x = ([-1/2])",36
13,19,"(-1) = (2 + 3x)
","(-1) = (2 + 3x)
|((-1) - 2) = ((2 + 3x) - 2)|((-1) - 2) = ((3x + 2) - 2)|((3x + 2) - 2) = ((-1) - 2)|(3x + (2 - 2)) = ((-1) - 2)|((3x + (2 - 2)) / 3) = (((-1) - 2) / 3)|(((x * 3) + (2 - 2)) / 3) = (((-1) - 2) / 3)|(((x * 3) + 0) / 3) = (((-1) - 2) / 3)|((x * 3) / 3) = (((-1) - 2) / 3)|(x * (3 / 3)) = (((-1) - 2) / 3)|(x * 1) = (((-1) - 2) / 3)|x = (((-1) - 2) / 3)|x = ((-3) / 3)|x = (-1)",23
14,20,"(1x + (-2)) = (3 + -4x)
","(1x + (-2)) = (3 + -4x)
|((1x + (-2)) - (-2)) = ((3 + -4x) - (-2))|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - (-2)) - -4x)|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + ((-2) - (-2))) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = ((3 + (-4x - -4x)) - (-2))|((1x + 0) - -4x) = ((3 + 0) - (-2))|((1x + 0) - -4x) = (3 - (-2))|(1x - -4x) = (3 - (-2))|((1 - (-4)) * x) = (3 - (-2))|5x = (3 - (-2))|(5x / 5) = ((3 - (-2)) / 5)|((x * 5) / 5) = ((3 - (-2)) / 5)|(x * (5 / 5)) = ((3 - (-2)) / 5)|(x * 1) = ((3 - (-2)) / 5)|x = ((3 - (-2)) / 5)|x = (5 / 5)|x = 1",34
15,21,"((-1) / 2) = x
","((-1) / 2) = x
|x = ((-1) / 2)|x = ([-1/2])",3
16,22,"((-1) / x) = (-2)
","((-1) / x) = (-2)
|(((-1) / x) / (-2)) = ((-2) / (-2))|((((-1) / x) / (-2)) * x) = (((-2) / (-2)) * x)|((((-1) / x) / (-2)) * x) = 1x|(x * (((-1) / x) / (-2))) = 1x|((x * ((-1) / x)) / (-2)) = 1x|(((x * (-1)) / x) / (-2)) = 1x|((-1x / x) / (-2)) = 1x|((-1x / x) / (-2)) = x|x = ((-1x / x) / (-2))|x = (((-1) * (x / x)) / (-2))|x = (((-1) * 1) / (-2))|x = ((-1) / (-2))|x = [1/2]",31
17,24,"-1x = (2x + 3)
","-1x = (2x + 3)
|(-1x - 2x) = ((2x + 3) - 2x)|(-1x - 2x) = ((3 + 2x) - 2x)|(((-1) - 2) * x) = ((3 + 2x) - 2x)|(((-1) - 2) * x) = (3 + (2x - 2x))|(((-1) - 2) * x) = (3 + 0)|-3x = (3 + 0)|(x * (-3)) = (3 + 0)|(x * (-3)) = 3|((x * (-3)) / (-3)) = (3 / (-3))|(x * ((-3) / (-3))) = (3 / (-3))|(x * 1) = (3 / (-3))|x = (3 / (-3))|x = (-1)",25
18,25,"(1 + -2x) = (-3x + (-4))
","(1 + -2x) = (-3x + (-4))
|((1 + -2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = ((1 + -2x) - (-4))|(((-3x + (-4)) - (-4)) - -2x) = (((1 + -2x) - (-4)) - -2x)|(((-3x + (-4)) - (-4)) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + ((-4) - (-4))) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = ((1 + (-2x - -2x)) - (-4))|((-3x + 0) - -2x) = ((1 + 0) - (-4))|((-3x + 0) - -2x) = (1 - (-4))|(-3x - -2x) = (1 - (-4))|(((-3) - (-2)) * x) = (1 - (-4))|-1x = (1 - (-4))|(x * (-1)) = (1 - (-4))|((x * (-1)) * (-1)) = ((1 - (-4)) * (-1))|(x * ((-1) * (-1))) = ((1 - (-4)) * (-1))|(x * 1) = ((1 - (-4)) * (-1))|x = ((1 - (-4)) * (-1))|x = (5 * (-1))|x = (-5)",35
19,26,"(1 + -2x) = ((-3) + -4x)
","(1 + -2x) = ((-3) + -4x)
|((1 + -2x) - -4x) = (((-3) + -4x) - -4x)|((1 + -2x) - -4x) = ((-3) + (-4x - -4x))|((1 + -2x) - -4x) = ((-3) + 0)|(1 + (-2x - -4x)) = ((-3) + 0)|((-2x - -4x) + 1) = ((-3) + 0)|((((-2) - (-4)) * x) + 1) = ((-3) + 0)|(((((-2) - (-4)) * x) + 1) - 1) = (((-3) + 0) - 1)|(((((-2) - (-4)) * x) + 1) - 1) = ((-3) - 1)|((((-2) - (-4)) * x) + (1 - 1)) = ((-3) - 1)|((((-2) - (-4)) * x) + 0) = ((-3) - 1)|(((-2) - (-4)) * x) = ((-3) - 1)|2x = ((-3) - 1)|(2x / 2) = (((-3) - 1) / 2)|((x * 2) / 2) = (((-3) - 1) / 2)|(x * (2 / 2)) = (((-3) - 1) / 2)|(x * 1) = (((-3) - 1) / 2)|x = (((-3) - 1) / 2)|x = ((-4) / 2)|x = (-2)",37
20,27,"((-1) + (2 / x)) = 3
","((-1) + (2 / x)) = 3
|((2 / x) + (-1)) = 3|(((2 / x) + (-1)) - (-1)) = (3 - (-1))|(((2 / x) + (-1)) - (-1)) = 4|((((2 / x) + (-1)) - (-1)) / 4) = (4 / 4)|(((((2 / x) + (-1)) - (-1)) / 4) * x) = ((4 / 4) * x)|(x * ((((2 / x) + (-1)) - (-1)) / 4)) = ((4 / 4) * x)|(x * (((2 / x) + ((-1) - (-1))) / 4)) = ((4 / 4) * x)|(x * (((2 / x) + 0) / 4)) = ((4 / 4) * x)|(x * ((2 / x) / 4)) = ((4 / 4) * x)|((x * (2 / x)) / 4) = ((4 / 4) * x)|((x * (2 / x)) / 4) = 1x|(((x * 2) / x) / 4) = 1x|((2x / x) / 4) = 1x|((2 * (x / x)) / 4) = 1x|((2 * 1) / 4) = 1x|1x = ((2 * 1) / 4)|x = ((2 * 1) / 4)|x = (2 / 4)|x = [1/2]",43
21,28,"(-1x + 2x) = (-3)
","(-1x + 2x) = (-3)
|(((-1) + 2) * x) = (-3)|1x = (-3)|x = (-3)",7
22,30,"(1 / x) = 2
","(1 / x) = 2
|((1 / x) / 2) = (2 / 2)|(((1 / x) / 2) * x) = ((2 / 2) * x)|(((1 / x) / 2) * x) = 1x|(x * ((1 / x) / 2)) = 1x|((x * (1 / x)) / 2) = 1x|(((x * 1) / x) / 2) = 1x|((x / x) / 2) = 1x|1x = ((x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]",27
23,31,"((-1) + -2x) = (-3x + (-4))
","((-1) + -2x) = (-3x + (-4))
|(((-1) + -2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + -2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + -2x) - (-4))|(-3x + 0) = (((-1) + -2x) - (-4))|((-3x + 0) - -2x) = ((((-1) + -2x) - (-4)) - -2x)|((-3x + 0) - -2x) = ((((-1) + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = (((-1) + (-2x - -2x)) - (-4))|((-3x + 0) - -2x) = (((-1) + 0) - (-4))|((-3x + 0) - -2x) = ((-1) - (-4))|(-3x - -2x) = ((-1) - (-4))|(((-3) - (-2)) * x) = ((-1) - (-4))|-1x = ((-1) - (-4))|(x * (-1)) = ((-1) - (-4))|((x * (-1)) * (-1)) = (((-1) - (-4)) * (-1))|(x * ((-1) * (-1))) = (((-1) - (-4)) * (-1))|(x * 1) = (((-1) - (-4)) * (-1))|(x * 1) = (3 * (-1))|x = (3 * (-1))|x = (-3)",35
24,33,"1 = ((-2) + -3x)
","1 = ((-2) + -3x)
|(1 - (-2)) = (((-2) + -3x) - (-2))|(1 - (-2)) = ((-3x + (-2)) - (-2))|(1 - (-2)) = (-3x + ((-2) - (-2)))|(1 - (-2)) = ((x * (-3)) + ((-2) - (-2)))|((1 - (-2)) / (-3)) = (((x * (-3)) + ((-2) - (-2))) / (-3))|((1 - (-2)) / (-3)) = (((x * (-3)) + 0) / (-3))|((1 - (-2)) / (-3)) = ((x * (-3)) / (-3))|((x * (-3)) / (-3)) = ((1 - (-2)) / (-3))|(x * ((-3) / (-3))) = ((1 - (-2)) / (-3))|(x * ((-3) / (-3))) = (3 / (-3))|(x * 1) = (3 / (-3))|x = (3 / (-3))|x = (-1)",22
25,34,"((-1) - 2x) = (3x - 4)
","((-1) - 2x) = (3x - 4)
|(3x - 4) = ((-1) - 2x)|(3x + (-4)) = ((-1) - 2x)|((3x + (-4)) - (-4)) = (((-1) - 2x) - (-4))|(3x + ((-4) - (-4))) = (((-1) - 2x) - (-4))|(3x + 0) = (((-1) - 2x) - (-4))|(3x + 0) = (((-1) + -2x) - (-4))|3x = (((-1) + -2x) - (-4))|(3x - -2x) = ((((-1) + -2x) - (-4)) - -2x)|((3 - (-2)) * x) = ((((-1) + -2x) - (-4)) - -2x)|5x = ((((-1) + -2x) - (-4)) - -2x)|5x = ((((-1) + -2x) - -2x) - (-4))|5x = (((-1) + (-2x - -2x)) - (-4))|(x * 5) = (((-1) + (-2x - -2x)) - (-4))|((x * 5) / 5) = ((((-1) + (-2x - -2x)) - (-4)) / 5)|((x * 5) / 5) = ((((-1) + 0) - (-4)) / 5)|((x * 5) / 5) = (((-1) - (-4)) / 5)|(x * (5 / 5)) = (((-1) - (-4)) / 5)|(x * 1) = (((-1) - (-4)) / 5)|x = (((-1) - (-4)) / 5)|x = (3 / 5)|x = [3/5]",36
26,37,"((1 + 2) * x) = 3
","((1 + 2) * x) = 3
|3x = 3|(x * 3) = 3|((x * 3) / 3) = (3 / 3)|(x * (3 / 3)) = (3 / 3)|(x * 1) = (3 / 3)|x = (3 / 3)|x = 1",15
27,38,"1 = (2 + (3 / x))
","1 = (2 + (3 / x))
|(1 - 2) = ((2 + (3 / x)) - 2)|(1 - 2) = (((3 / x) + 2) - 2)|(-1) = (((3 / x) + 2) - 2)|((-1) * (-1)) = ((((3 / x) + 2) - 2) * (-1))|(((-1) * (-1)) * x) = (((((3 / x) + 2) - 2) * (-1)) * x)|1x = (((((3 / x) + 2) - 2) * (-1)) * x)|x = (((((3 / x) + 2) - 2) * (-1)) * x)|x = ((((3 / x) + (2 - 2)) * (-1)) * x)|x = ((((3 / x) + 0) * (-1)) * x)|x = (((3 / x) * (-1)) * x)|x = (x * ((3 / x) * (-1)))|x = ((x * (3 / x)) * (-1))|x = (((x * 3) / x) * (-1))|x = ((3x / x) * (-1))|x = ((3 * (x / x)) * (-1))|x = ((3 * 1) * (-1))|x = (3 * (-1))|x = (-3)",38
28,40,"1 = (2x + 3)
","1 = (2x + 3)
|(1 - 3) = ((2x + 3) - 3)|((2x + 3) - 3) = (1 - 3)|(2x + (3 - 3)) = (1 - 3)|(2x + 0) = (1 - 3)|2x = (1 - 3)|(x * 2) = (1 - 3)|(x * 2) = (-2)|((x * 2) / 2) = ((-2) / 2)|(x * (2 / 2)) = ((-2) / 2)|(x * 1) = ((-2) / 2)|x = ((-2) / 2)|x = (-1)",22
29,41,"(1 + 2x) = (3x + 4)
","(1 + 2x) = (3x + 4)
|((1 + 2x) - 2x) = ((3x + 4) - 2x)|((3x + 4) - 2x) = ((1 + 2x) - 2x)|((4 + 3x) - 2x) = ((1 + 2x) - 2x)|(4 + (3x - 2x)) = ((1 + 2x) - 2x)|(4 + (3x - 2x)) = (1 + (2x - 2x))|(4 + (3x - 2x)) = (1 + 0)|(4 + (3x - 2x)) = 1|((4 + (3x - 2x)) - 4) = (1 - 4)|(((3x - 2x) + 4) - 4) = (1 - 4)|((((3 - 2) * x) + 4) - 4) = (1 - 4)|(((3 - 2) * x) + (4 - 4)) = (1 - 4)|(1x + (4 - 4)) = (1 - 4)|(1x + 0) = (1 - 4)|1x = (1 - 4)|1x = (-3)|x = (-3)",29
30,42,"1 = (((-2) / x) + (-3))
","1 = (((-2) / x) + (-3))
|(1 - (-3)) = ((((-2) / x) + (-3)) - (-3))|4 = ((((-2) / x) + (-3)) - (-3))|(4 / 4) = (((((-2) / x) + (-3)) - (-3)) / 4)|((4 / 4) * x) = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|1x = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|x = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|x = (((((-2) / x) + ((-3) - (-3))) / 4) * x)|x = (((((-2) / x) + 0) / 4) * x)|x = ((((-2) / x) / 4) * x)|x = (x * (((-2) / x) / 4))|x = ((x * ((-2) / x)) / 4)|x = (((x * (-2)) / x) / 4)|x = ((-2x / x) / 4)|x = (((-2) * (x / x)) / 4)|x = (((-2) * 1) / 4)|x = ((-2) / 4)|x = ([-1/2])",36
31,43,"((-1) + -2x) = (-3)
","((-1) + -2x) = (-3)
|(((-1) + -2x) - (-1)) = ((-3) - (-1))|((-2x + (-1)) - (-1)) = ((-3) - (-1))|(-2x + ((-1) - (-1))) = ((-3) - (-1))|((x * (-2)) + ((-1) - (-1))) = ((-3) - (-1))|((x * (-2)) + 0) = ((-3) - (-1))|(x * (-2)) = ((-3) - (-1))|((x * (-2)) / (-2)) = (((-3) - (-1)) / (-2))|(x * ((-2) / (-2))) = (((-3) - (-1)) / (-2))|(x * ((-2) / (-2))) = ((-2) / (-2))|(x * 1) = ((-2) / (-2))|x = ((-2) / (-2))|x = 1",21
32,44,"((-1) + 2x) = (-3x + (-4))
","((-1) + 2x) = (-3x + (-4))
|(((-1) + 2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + 2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + 2x) - (-4))|(-3x + 0) = (((-1) + 2x) - (-4))|((-3x + 0) - 2x) = ((((-1) + 2x) - (-4)) - 2x)|((-3x + 0) - 2x) = ((((-1) + 2x) - 2x) - (-4))|((-3x + 0) - 2x) = (((-1) + (2x - 2x)) - (-4))|((-3x + 0) - 2x) = (((-1) + 0) - (-4))|((-3x + 0) - 2x) = ((-1) - (-4))|(-3x - 2x) = ((-1) - (-4))|(((-3) - 2) * x) = ((-1) - (-4))|-5x = ((-1) - (-4))|(x * (-5)) = ((-1) - (-4))|(x * (-5)) = 3|((x * (-5)) / (-5)) = (3 / (-5))|(x * ((-5) / (-5))) = (3 / (-5))|(x * 1) = (3 / (-5))|x = (3 / (-5))|x = ([-3/5])",34
33,45,"(1x - -2x) = 3
","(1x - -2x) = 3
|((1 - (-2)) * x) = 3|3x = 3|(x * 3) = 3|((x * 3) / 3) = (3 / 3)|(x * (3 / 3)) = (3 / 3)|(x * 1) = (3 / 3)|x = (3 / 3)|x = 1",17
34,46,"((-1) + 2x) = (3x - 4)
","((-1) + 2x) = (3x - 4)
|(((-1) + 2x) - 2x) = ((3x - 4) - 2x)|((3x - 4) - 2x) = (((-1) + 2x) - 2x)|((3x - 2x) - 4) = (((-1) + 2x) - 2x)|((3x - 2x) - 4) = ((-1) + (2x - 2x))|((3x - 2x) - 4) = ((-1) + 0)|(((3 - 2) * x) - 4) = ((-1) + 0)|(((3 - 2) * x) - 4) = (-1)|(((3 - 2) * x) + (-4)) = (-1)|((((3 - 2) * x) + (-4)) - (-4)) = ((-1) - (-4))|(((3 - 2) * x) + ((-4) - (-4))) = ((-1) - (-4))|(1x + ((-4) - (-4))) = ((-1) - (-4))|(1x + 0) = ((-1) - (-4))|(1x + 0) = 3|1x = 3|x = 3",26
35,47,"(1 / x) = (2 + 3)
","(1 / x) = (2 + 3)
|(1 / x) = 5|((1 / x) / 5) = (5 / 5)|(((1 / x) / 5) * x) = ((5 / 5) * x)|(x * ((1 / x) / 5)) = ((5 / 5) * x)|((x * (1 / x)) / 5) = ((5 / 5) * x)|((x * (1 / x)) / 5) = 1x|(((x * 1) / x) / 5) = 1x|((x / x) / 5) = 1x|(1 / 5) = 1x|1x = (1 / 5)|x = (1 / 5)|x = [1/5]",27
